Path,Filename,StartSecond,EndSecond,MainClassification,ConfidenceScore,ConfidenceVector
Downsampled AQUI TAMBIÉN/Tarifa 2 SYLENCE/BUENOS/channelA_2024-05-27_21-48-19_48kHz.wav,channelA_2024-05-27_21-48-19_48kHz.wav,249,252,Whistle,0.9996284,"[0.00037151097785681486, 0.9996284246444702]"
Downsampled AQUI TAMBIÉN/Tarifa 2 SYLENCE/BUENOS/channelA_2024-05-28_01-21-47_48kHz.wav,channelA_2024-05-28_01-21-47_48kHz.wav,249,252,Whistle,0.5609731,"[0.4390268325805664, 0.5609731078147888]"
Downsampled AQUI TAMBIÉN/Tarifa 2 SYLENCE/BUENOS/channelA_2024-05-28_01-21-47_48kHz.wav,channelA_2024-05-28_01-21-47_48kHz.wav,273,276,Whistle,0.90019727,"[0.09980273246765137, 0.9001972675323486]"
Downsampled AQUI TAMBIÉN/Tarifa 2 SYLENCE/BUENOS/channelA_2024-05-28_01-21-47_48kHz.wav,channelA_2024-05-28_01-21-47_48kHz.wav,276,279,Whistle,0.74121714,"[0.2587828040122986, 0.7412171363830566]"
Downsampled AQUI TAMBIÉN/Tarifa 2 SYLENCE/BUENOS/channelA_2024-05-28_01-26-47_48kHz.wav,channelA_2024-05-28_01-26-47_48kHz.wav,6,9,Whistle,0.94204456,"[0.05795550346374512, 0.9420445561408997]"
Downsampled AQUI TAMBIÉN/Tarifa 2 SYLENCE/BUENOS/channelA_2024-05-28_01-26-47_48kHz.wav,channelA_2024-05-28_01-26-47_48kHz.wav,9,12,Whistle,0.99999976,"[2.0985370952075755e-07, 0.9999997615814209]"
Downsampled AQUI TAMBIÉN/Tarifa 2 SYLENCE/BUENOS/channelA_2024-05-28_01-26-47_48kHz.wav,channelA_2024-05-28_01-26-47_48kHz.wav,15,18,Whistle,0.9940957,"[0.005904331803321838, 0.9940956830978394]"
Downsampled AQUI TAMBIÉN/Tarifa 2 SYLENCE/BUENOS/channelA_2024-05-28_01-26-47_48kHz.wav,channelA_2024-05-28_01-26-47_48kHz.wav,21,24,Whistle,0.7623898,"[0.23761028051376343, 0.7623897790908813]"
Downsampled AQUI TAMBIÉN/Tarifa 2 SYLENCE/BUENOS/channelA_2024-05-28_01-26-47_48kHz.wav,channelA_2024-05-28_01-26-47_48kHz.wav,24,27,Whistle,0.998995,"[0.0010049485135823488, 0.9989950060844421]"
Downsampled AQUI TAMBIÉN/Tarifa 2 SYLENCE/BUENOS/channelA_2024-05-28_01-26-47_48kHz.wav,channelA_2024-05-28_01-26-47_48kHz.wav,27,30,Whistle,0.9930577,"[0.006942312698811293, 0.9930577278137207]"
Downsampled AQUI TAMBIÉN/Tarifa 2 SYLENCE/BUENOS/channelA_2024-05-28_01-26-47_48kHz.wav,channelA_2024-05-28_01-26-47_48kHz.wav,30,33,Whistle,0.7066848,"[0.29331523180007935, 0.7066848278045654]"
